INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('1', 'Task.', '50:34', '23');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('120', 'International.', '01:30', '59');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('121', 'Other really.', '23:40', '59');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('122', 'Film story agent.', '47:57', '15');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('123', 'Close.', '22:18', '8');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('124', 'Teacher meeting road.', '57:24', '48');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('125', 'White use.', '24:50', '31');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('126', 'Adult energy.', '56:32', '2');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('127', 'Word go.', '55:16', '20');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('128', 'Prevent.', '20:18', '26');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('129', 'Drug work respond.', '19:36', '53');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('130', 'Yard relationship eye let.', '08:52', '40');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('131', 'Trip until everybody.', '13:00', '33');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('132', 'Late concern.', '35:16', '2');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('133', 'Memory share country.', '10:57', '27');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('134', 'Population win set.', '17:45', '33');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('135', 'Hundred wonder catch.', '09:07', '49');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('136', 'Action they.', '43:54', '5');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('137', 'Success too choice response.', '53:36', '8');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('138', 'Approach buy control.', '24:34', '44');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('139', 'Huge reality.', '40:46', '3');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('140', 'One situation room.', '19:40', '18');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('141', 'Month foreign knowledge.', '50:12', '15');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('142', 'Able by.', '16:15', '32');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('143', 'Speak ask one.', '22:35', '49');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('144', 'Society production.', '27:43', '39');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('145', 'Environment relate seek.', '56:23', '42');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('146', 'Usually west beyond.', '40:52', '31');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('147', 'Fund final.', '36:38', '54');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('148', 'Want realize may loss.', '48:07', '17');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('149', 'Say evidence there.', '57:12', '60');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('150', 'Group finish maybe.', '53:24', '45');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('151', 'Such hospital.', '03:32', '44');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('152', 'Yourself everybody.', '18:06', '33');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('153', 'Whole indeed.', '05:29', '18');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('154', 'Play specific.', '18:56', '14');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('155', 'Official cost spend.', '06:53', '14');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('156', 'Ball.', '56:05', '37');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('157', 'Natural report.', '18:10', '4');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('158', 'Forget parent event.', '53:31', '4');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('159', 'Trouble someone.', '04:35', '21');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('160', 'Agree.', '01:58', '34');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('161', 'Sure.', '57:26', '16');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('162', 'Eight.', '34:46', '29');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('163', 'Across shoulder garden.', '38:41', '28');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('164', 'Number over.', '57:11', '24');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('165', 'Senior whatever air.', '26:40', '46');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('166', 'Stay rule.', '49:46', '33');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('167', 'Stage charge around.', '26:57', '48');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('168', 'Upon large.', '05:35', '16');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('169', 'Politics thank institution.', '24:40', '55');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('170', 'General.', '35:08', '33');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('171', 'Article city.', '55:56', '43');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('172', 'Anyone involve financial.', '29:49', '32');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('173', 'Entire development.', '03:03', '39');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('174', 'Table church then.', '55:30', '22');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('175', 'Blood available.', '29:00', '2');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('176', 'Whole idea.', '54:03', '35');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('177', 'Add if.', '05:01', '34');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('178', 'Phone any.', '38:58', '51');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('179', 'Add join question.', '29:29', '12');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('180', 'Simply main impact.', '01:05', '34');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('181', 'Test miss.', '51:57', '9');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('182', 'Seek machine.', '51:35', '22');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('183', 'Suddenly book share.', '48:57', '46');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('184', 'Capital star.', '45:15', '10');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('185', 'Rich from political.', '28:20', '7');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('186', 'Fact stage.', '51:01', '27');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('187', 'National common respond site.', '50:04', '17');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('188', 'Environmental forget voice.', '59:50', '48');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('189', 'Product benefit south.', '36:22', '19');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('190', 'Good wear property.', '30:51', '32');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('191', 'Law relationship.', '48:08', '9');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('192', 'Relationship this PM.', '20:36', '20');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('193', 'Program provide will.', '02:43', '55');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('194', 'Order last.', '31:15', '28');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('195', 'Method doctor.', '35:34', '14');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('196', 'Mother stock kitchen civil.', '11:05', '55');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('197', 'Level between once.', '21:56', '56');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('198', 'Two I.', '18:00', '26');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('199', 'Have range.', '56:51', '4');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('200', 'No ago blue.', '03:44', '37');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('201', 'Develop standard look.', '16:09', '32');
