INSERT INTO `Musika`.`album` (`albumId`, `albumName`, `albumDescription`, `albumPhoto`) VALUES ('1', 'Central every.', 'Respond point wear agency how now hold keep beat my mind radio American measure whose play goal positive try present spring south attorney establish site indicate travel job piece blue million data everybody job detail body still tough or increase worry indicate she finally range question political point common contain according themselves develop son contain hard up local sister attorney guess line decade within enjoy course toward entire then second material billion economy need court while affect fine near hundred world less across future full popular rule not really ok.', 'https://dspncdn.com/a1/media/originals/88/68/df/8868dfeb685d91da7c8c20541ccf71ac.jpg');
INSERT INTO `Musika`.`album` (`albumId`, `albumName`, `albumDescription`, `albumPhoto`) VALUES ('12', 'Evening vote.', 'Indicate threat order not drop usually east outside argue court thousand time authority else former answer real forget sit thousand like business director development party important fire design general idea role church treatment himself agreement role identify hair a program field control each experience fish wife unit agreement sell as future defense tonight myself painting quickly realize learn you central kind four your adult expect age nature child course response wife network space foreign focus discover best put bar TV control require raise attack.', 'https://dspncdn.com/a1/media/originals/00/94/e8/0094e8a136cf1274d706c77b52da362a.jpg');
INSERT INTO `Musika`.`album` (`albumId`, `albumName`, `albumDescription`, `albumPhoto`) VALUES ('13', 'However eat.', 'May interest push left vote partner onto clear suggest conference that because four place source program contain write resource throw my side have newspaper determine development term team from past center material result effort chair provide mind knowledge collection simple some budget mean either.', 'https://dspncdn.com/a1/media/originals/be/83/1c/be831c7710456d7061d924b0dd38fdb7.jpg');
INSERT INTO `Musika`.`album` (`albumId`, `albumName`, `albumDescription`, `albumPhoto`) VALUES ('14', 'Size whose.', 'Up pick ahead blue special hospital society available morning player lot red best food rule local rate then within exactly practice local car of very poor whatever son natural who machine morning prepare sort movie across thousand important appear purpose baby chair big charge year detail seven customer recognize benefit picture second now.', 'https://dspncdn.com/a1/media/originals/c7/49/15/c7491577fdd11e6a54237e879de6cd07.jpg');
INSERT INTO `Musika`.`album` (`albumId`, `albumName`, `albumDescription`, `albumPhoto`) VALUES ('15', 'Alone him brother.', 'Medical will suggest simply positive everyone them life one decade marriage you game memory organization expect to base fear believe far enjoy rest hear few rise sense participant teacher bit play floor of each economy lot pass on late truth why area official can treatment ground amount cut score dream process heart worry skin attention compare.', 'https://dspncdn.com/a1/media/originals/84/fa/b5/84fab505650ebe30a080bab8eb72af50.jpg');
INSERT INTO `Musika`.`album` (`albumId`, `albumName`, `albumDescription`, `albumPhoto`) VALUES ('16', 'Keep check radio must.', 'Interesting after more cultural rate worker view sell over teacher subject never box action history hard page language former action model his only section store thank dog lawyer themselves one ever rich also item actually central city believe region institution page family through receive watch evening forget despite reason both arrive customer talk public avoid group production new home your media positive national stage full seat record notice town order arm energy force son body maintain indeed commercial as.', 'https://dspncdn.com/a1/media/originals/2b/bc/10/2bbc10d50b9e120e7526ee66248e3cec.jpg');
INSERT INTO `Musika`.`album` (`albumId`, `albumName`, `albumDescription`, `albumPhoto`) VALUES ('17', 'Forget gas believe.', 'General cold doctor hear happen under help college wide out fine blue fill food seven figure cup maintain scientist mother him hold safe example film reduce movement kitchen trouble alone fear try head drive their form other production hit future center experience sing law sea business any daughter child stuff former admit after available late final stop officer environmental spend.', 'https://dspncdn.com/a1/media/originals/e0/1f/b5/e01fb5b948c7f4e6111499ee4431ddc4.jpg');
INSERT INTO `Musika`.`album` (`albumId`, `albumName`, `albumDescription`, `albumPhoto`) VALUES ('18', 'Argue experience.', 'Whatever stage their natural four authority property road shoulder personal let direction pay letter success court respond would seem tax movie cold word side area onto treatment final for player of one health church nature figure design land forward likely anyone environment realize land attorney deep total somebody note international outside bank chance under other mouth stay follow family nature deal just indeed against beyond chair man right data much return for foreign color figure pass former.', 'https://dspncdn.com/a1/media/originals/e5/c8/9b/e5c89bbd1b444fd9cddf8fd951723317.jpg');
INSERT INTO `Musika`.`album` (`albumId`, `albumName`, `albumDescription`, `albumPhoto`) VALUES ('19', 'Where newspaper student.', 'Exist policy myself why of behavior your sport travel sister fill check rule build economy audience fall food receive defense may hot near grow raise other financial upon gas party thus ability result yard entire which car should either long herself determine skill discover environment.', 'https://dspncdn.com/a1/media/originals/84/fa/b5/84fab505650ebe30a080bab8eb72af50.jpg');
INSERT INTO `Musika`.`album` (`albumId`, `albumName`, `albumDescription`, `albumPhoto`) VALUES ('20', 'Wonder manager would.', 'Marriage do record operation cold with agree or act various war edge argue market certain happen area contain white property dream peace some left fact particularly enter much return ball realize design card reflect again public middle painting if follow fact act south most indicate certain laugh beyond radio site experience.', 'https://dspncdn.com/a1/media/originals/3e/3b/21/3e3b21f7d443f251f4ad858ebadf9cb9.jpg');
INSERT INTO `Musika`.`album` (`albumId`, `albumName`, `albumDescription`, `albumPhoto`) VALUES ('21', 'About under identify history.', 'Change still establish indeed raise everybody party list call us loss notice hand approach few message ground key low rather choice parent within teacher mention result once evening character letter world bad citizen support meet those story news career by partner form federal watch form.', 'https://dspncdn.com/a1/media/originals/84/1c/12/841c1286daaeb62e75372b6a6d43cd25.jpg');
INSERT INTO `Musika`.`album` (`albumId`, `albumName`, `albumDescription`, `albumPhoto`) VALUES ('22', 'Interest very.', 'Cultural moment officer red office real front age family be it dog middle study including level dream per find how truth student doctor writer anyone collection require development whatever same area suggest very since their who operation economy model speak form song actually.', 'https://dspncdn.com/a1/media/originals/84/fa/b5/84fab505650ebe30a080bab8eb72af50.jpg');
INSERT INTO `Musika`.`album` (`albumId`, `albumName`, `albumDescription`, `albumPhoto`) VALUES ('23', 'Safe.', 'Design bad certainly shake town scientist note education his pass main test story only find certainly ahead theory person attack strong style available drive many five speak relate seven which score now heavy blue respond enter follow degree remember these actually hundred page them head would look land commercial force situation poor threat employee point week fast pressure gun list institution rise rather address million mention blue cut lot.', 'https://dspncdn.com/a1/media/originals/b9/fc/21/b9fc21ddb150bae08808ff179a299841.jpg');
INSERT INTO `Musika`.`album` (`albumId`, `albumName`, `albumDescription`, `albumPhoto`) VALUES ('24', 'Field send recently foot.', 'Campaign general seem myself star happy your young seem with attention assume sing edge work money determine through just national suggest level once machine necessary kid plant sometimes else trade area ago scene point above friend individual she Mr month seem a political several thus society pay actually important represent school various claim about over land likely national wear laugh approach tonight activity relationship heavy manage himself by partner early account professor clearly commercial and.', 'https://dspncdn.com/a1/media/originals/34/c3/60/34c360dbadfa9cb67ed2c68385d1eb3b.jpg');
INSERT INTO `Musika`.`album` (`albumId`, `albumName`, `albumDescription`, `albumPhoto`) VALUES ('25', 'Service crime detail.', 'Recent radio remain tree decide late season program admit forget recognize reveal begin enjoy into quickly way will mind reach involve story watch star account analysis try ask police truth color sell watch car same fish training rate can begin source future by movie together history over parent recent unit task floor former sit teacher exist certain indeed talk well huge large which phone gun ready remember add program staff shoulder once surface crime great while require expert yard side.', 'https://dspncdn.com/a1/media/originals/b9/fc/21/b9fc21ddb150bae08808ff179a299841.jpg');
INSERT INTO `Musika`.`album` (`albumId`, `albumName`, `albumDescription`, `albumPhoto`) VALUES ('26', 'Discover director see.', 'Culture still like size many wide travel condition finish allow authority or result pass walk house need free technology magazine voice shoulder determine yourself material national travel that may necessary data continue security increase expert price fact section nearly road tough care financial management exist build establish student attention at either house economic three along over task so buy radio develop right cut amount factor issue himself mouth agency into.', 'https://dspncdn.com/a1/media/originals/b9/fc/21/b9fc21ddb150bae08808ff179a299841.jpg');
INSERT INTO `Musika`.`album` (`albumId`, `albumName`, `albumDescription`, `albumPhoto`) VALUES ('27', 'From ready.', 'Police professor federal coach feel into family in identify while reality four six here huge summer project professor religious interest mission message total body check way generation region general use call production animal generation chair dinner though story manager drive authority forward participant mean experience contain us north piece easy party well ground economic gas how free program more find cell article form forward least majority into painting eye government technology friend phone special worry decade network stage trade us section look sound every blood summer wait field see throughout everyone pretty.', 'https://dspncdn.com/a1/media/originals/ef/7d/3f/ef7d3fd16fb8acb8cdcc74c9c71e0551.jpg');
INSERT INTO `Musika`.`album` (`albumId`, `albumName`, `albumDescription`, `albumPhoto`) VALUES ('28', 'Another today.', 'Development contain degree inside another house statement name everything line authority also I magazine nearly together those significant guy unit within poor east those fine agent toward fund yet deep either question interest especially something up that he care most open laugh continue look thus success or edge his age lay tend list reason go similar she increase development around value inside sister table challenge middle agreement success anything serious fly part without item call set among play bill alone remain cut despite final turn still.', 'https://dspncdn.com/a1/media/originals/e5/c8/9b/e5c89bbd1b444fd9cddf8fd951723317.jpg');
INSERT INTO `Musika`.`album` (`albumId`, `albumName`, `albumDescription`, `albumPhoto`) VALUES ('29', 'Federal will write.', 'Where past site than very financial real off month theory charge write moment control consider little street whole safe ask cup court especially girl treat let all drive station network ball across write understand key value base push soldier determine born Congress follow community that half family skill though person store letter court it magazine clear throw great health scene eight very hold national executive none still decide soldier conference leader almost gas perhaps culture sing evening young full future animal opportunity instead itself.', 'https://dspncdn.com/a1/media/originals/da/7a/30/da7a30c9d50e06aa0887c8f6da7bb49b.jpg');
INSERT INTO `Musika`.`album` (`albumId`, `albumName`, `albumDescription`, `albumPhoto`) VALUES ('30', 'National think.', 'Mother data land conference her test unit democratic on discussion require discuss past professional major fact rich section enter us marriage note American turn nearly continue look play commercial thank as guy likely whether campaign add mother rate from yard at dream project central eye word brother by important coach where can owner.', 'https://dspncdn.com/a1/media/originals/da/7a/30/da7a30c9d50e06aa0887c8f6da7bb49b.jpg');
INSERT INTO `Musika`.`album` (`albumId`, `albumName`, `albumDescription`, `albumPhoto`) VALUES ('31', 'Near.', 'Agree within case play everything rest arrive property continue especially box financial image PM land deal change executive each order value market level simple last radio hour agency car range people wall figure company standard important actually go size take itself set season popular experience never describe house education let light court high eat magazine question information speak scientist third away consider always reduce blue glass site although then team sport sign dark difficult dinner type pattern option source.', 'https://dspncdn.com/a1/media/originals/e5/c8/9b/e5c89bbd1b444fd9cddf8fd951723317.jpg');
INSERT INTO `Musika`.`album` (`albumId`, `albumName`, `albumDescription`, `albumPhoto`) VALUES ('32', 'Yes get address.', 'Apply break keep political have interest use family better international positive spend down bad law agreement song former admit few inside trip people while difficult yard true born quite southern official fall bag cause billion song happen return relationship during successful picture term war concern other learn culture again two center with stop car success century actually wait TV east others southern itself loss program Mrs miss station and theory open put worry other claim test create kind bad both growth respond clearly else production big away fire ready very fast modern policy small century.', 'https://dspncdn.com/a1/media/originals/b9/38/95/b93895b3e30874b4dc7a672e80eeca7e.jpg');
INSERT INTO `Musika`.`album` (`albumId`, `albumName`, `albumDescription`, `albumPhoto`) VALUES ('33', 'Attention attention little.', 'For by good full actually kind create Congress coach help top usually pull idea back career send so head under none member mind same American miss consumer start listen pay huge visit well quickly we whether successful right local piece computer bed class back not instead turn just herself box boy property beat your not color full table road business these wonder water Republican minute artist new management director truth blood general mouth choose Republican call.', 'https://dspncdn.com/a1/media/originals/f6/91/b5/f691b5a339b4f8ffa6af13cf756e7c28.jpg');
INSERT INTO `Musika`.`album` (`albumId`, `albumName`, `albumDescription`, `albumPhoto`) VALUES ('34', 'Star.', 'Light strategy lawyer wish year ago without game bring voice than know peace each field enjoy which sort sing open wait affect wrong fight dream Mrs dog born else understand until matter cover represent back determine science trial wife power deal make effect party degree everyone section detail staff food until evidence may stop street wear.', 'https://dspncdn.com/a1/media/originals/e5/c8/9b/e5c89bbd1b444fd9cddf8fd951723317.jpg');
INSERT INTO `Musika`.`album` (`albumId`, `albumName`, `albumDescription`, `albumPhoto`) VALUES ('35', 'Writer military decision.', 'Above fill billion put knowledge several involve those watch go event story other say young government cover short act answer system trial free model rise onto only if phone because determine section individual performance truth difficult follow worry reduce between lot you performance tree also member mouth choice glass above summer development political throughout sing single explain international matter computer owner represent behavior indeed democratic wonder much daughter way natural health week bit possible cause door husband to establish practice herself cost past perform possible official good response a budget former spring right.', 'https://dspncdn.com/a1/media/originals/da/7a/30/da7a30c9d50e06aa0887c8f6da7bb49b.jpg');
INSERT INTO `Musika`.`album` (`albumId`, `albumName`, `albumDescription`, `albumPhoto`) VALUES ('36', 'Stuff assume attention cover.', 'Data require ever make contain rest relationship with be there compare smile real industry world region so out who once theory girl government article wonder face course vote green heart season really north computer everyone time be yourself size everything make place deep couple popular research show toward police seven scene possible market speak major girl exist individual quality move buy important economic adult long fall including back skill health require of light real indicate right fish sing practice condition leg month produce fall land kid oil drop social push church.', 'https://dspncdn.com/a1/media/originals/be/83/1c/be831c7710456d7061d924b0dd38fdb7.jpg');
INSERT INTO `Musika`.`album` (`albumId`, `albumName`, `albumDescription`, `albumPhoto`) VALUES ('37', 'Interview smile total.', 'Brother season Republican clear game hour pay attack whom claim edge big Mr international hard leader yourself area last provide answer inside year bit deal machine attack data nearly market make avoid plan receive seat economy these few during military tell real subject price enjoy outside eat start each political government authority of face local project as money operation pull also position plant benefit sea cold crime exactly letter sign point central view meeting off structure live anyone though his lead glass chair probably message.', 'https://dspncdn.com/a1/media/originals/f6/91/b5/f691b5a339b4f8ffa6af13cf756e7c28.jpg');
INSERT INTO `Musika`.`album` (`albumId`, `albumName`, `albumDescription`, `albumPhoto`) VALUES ('38', 'Pull realize age.', 'Popular whose miss forget agent field control effect land sense mission must some stock discuss list house stage most general effort speak of their bank down course face TV raise show attorney idea green reduce character southern computer board piece effort true teach approach fast word sport age matter PM career matter part agent several month.', 'https://dspncdn.com/a1/media/originals/21/35/6e/21356ef6793ce86c6144069862b3a312.jpg');
INSERT INTO `Musika`.`album` (`albumId`, `albumName`, `albumDescription`, `albumPhoto`) VALUES ('39', 'Professional against.', 'Agent offer onto standard effort century become sit wind remember his you if nothing soldier hit debate than box prepare movie land sort cost outside money determine since audience just training late his behavior pressure author quality off ready south official agency so type green speak popular cold wall old off black simply red culture bed last anyone argue truth cold social this unit store suddenly Democrat only employee head off tend audience give push worry across consumer with grow them pay doctor part bring risk concern order.', 'https://dspncdn.com/a1/media/originals/21/35/6e/21356ef6793ce86c6144069862b3a312.jpg');
INSERT INTO `Musika`.`album` (`albumId`, `albumName`, `albumDescription`, `albumPhoto`) VALUES ('40', 'Deal should.', 'According issue course last employee down fund member strategy first start instead star mean day best detail protect among newspaper Mrs poor truth wrong treat put skill day product item care usually old probably bar report high left everything land place laugh language future approach mother position store left evidence big program mission career culture list heavy old subject husband short return probably brother people customer small yourself clearly per structure attention television among but admit well have despite once foreign magazine line skin teacher college pressure that pull best matter late partner break.', 'https://dspncdn.com/a1/media/originals/2b/bc/10/2bbc10d50b9e120e7526ee66248e3cec.jpg');
INSERT INTO `Musika`.`album` (`albumId`, `albumName`, `albumDescription`, `albumPhoto`) VALUES ('41', 'Future.', 'Room week focus break score civil traditional total American wind such role yourself resource road throw and season senior possible exactly arrive once we evening four during enjoy apply thing particularly popular too speak today last try than ball picture choice notice wife course hot fire vote argue control time follow pressure price well prepare majority personal herself answer network every care public tell feel against natural important everyone art wife energy message notice drive statement.', 'https://dspncdn.com/a1/media/originals/3e/3b/21/3e3b21f7d443f251f4ad858ebadf9cb9.jpg');
INSERT INTO `Musika`.`album` (`albumId`, `albumName`, `albumDescription`, `albumPhoto`) VALUES ('42', 'Decade write nation.', 'Model she song civil Democrat full type sense field on finish him environmental along book drop prevent threat candidate edge always paper project possible that detail fine group per necessary particular green any music else company their staff air ready involve box truth top gas capital per our.', 'https://dspncdn.com/a1/media/originals/3e/3b/21/3e3b21f7d443f251f4ad858ebadf9cb9.jpg');
INSERT INTO `Musika`.`album` (`albumId`, `albumName`, `albumDescription`, `albumPhoto`) VALUES ('43', 'Fact community.', 'Road worker including another carry as exactly to kind house so beyond subject policy home network positive star condition affect involve live least tough cell treat face good past discuss agree sing enough meeting real five media institution attack word institution himself teacher black population take together public side appear receive house bit debate government possible score increase including center war forward nation large what hour foreign size attack or forward smile evidence power either become worry determine accept now understand billion rock pull maintain camera with crime former ask research perform for.', 'https://dspncdn.com/a1/media/originals/da/7a/30/da7a30c9d50e06aa0887c8f6da7bb49b.jpg');
INSERT INTO `Musika`.`album` (`albumId`, `albumName`, `albumDescription`, `albumPhoto`) VALUES ('44', 'Figure like.', 'Herself house when chance husband across senior military put fast the half call wish everyone summer large win small question perform stock effect cause factor very keep its adult generation community investment economy stand important for hold throw effect thank she standard response something war whether spend power information while what individual newspaper news chair debate drive course impact day whom choice pay purpose serve economy understand course might game treat.', 'https://dspncdn.com/a1/media/originals/e5/c8/9b/e5c89bbd1b444fd9cddf8fd951723317.jpg');
INSERT INTO `Musika`.`album` (`albumId`, `albumName`, `albumDescription`, `albumPhoto`) VALUES ('45', 'Realize table.', 'Thousand cover us tend suddenly thank party although size know skill attorney physical check themselves somebody manage firm sister sister sort trade down school agree down service of whom because ten large ability interesting city model magazine evidence market modern over might successful at process buy maintain different blue scene generation design girl break happen near back one worker discussion share nature able impact camera.', 'https://dspncdn.com/a1/media/originals/7a/ec/af/7aecaf4938adb02b4e39068fb1f9914c.jpg');
INSERT INTO `Musika`.`album` (`albumId`, `albumName`, `albumDescription`, `albumPhoto`) VALUES ('46', 'Join election memory tax.', 'Remember still right culture central experience drop road stay glass trouble again movie she method window state policy country company authority serve herself low organization level north those voice social decade imagine kid standard song standard water cover case method environmental explain plan among beyond employee trouble score perform long spend.', 'https://dspncdn.com/a1/media/originals/b9/fc/21/b9fc21ddb150bae08808ff179a299841.jpg');
INSERT INTO `Musika`.`album` (`albumId`, `albumName`, `albumDescription`, `albumPhoto`) VALUES ('47', 'Oil both bit.', 'Carry want play test military machine food themselves kid dinner owner he plant onto try despite let hand sister effect carry listen southern already kitchen control recently child shoulder red process entire value by eight could decision tree key need good happy civil to bit present.', 'https://dspncdn.com/a1/media/originals/84/fa/b5/84fab505650ebe30a080bab8eb72af50.jpg');
INSERT INTO `Musika`.`album` (`albumId`, `albumName`, `albumDescription`, `albumPhoto`) VALUES ('48', 'Front.', 'Ask eight toward a give child edge member only culture surface budget moment show finally which goal read sort child certainly give thousand on total foot be population explain hospital yard executive draw describe address stage certainly so up campaign five where.', 'https://dspncdn.com/a1/media/originals/21/35/6e/21356ef6793ce86c6144069862b3a312.jpg');
INSERT INTO `Musika`.`album` (`albumId`, `albumName`, `albumDescription`, `albumPhoto`) VALUES ('49', 'Billion thought report.', 'Least join throughout moment provide total skin central wife knowledge appear a step president box miss price product book choice quite week address read young first especially hand life develop something together until doctor care military difficult market environment where authority food side return wonder light its five likely role often section thousand I reality policy purpose less guy letter goal natural certainly party marriage sort southern peace land result mean shake get me upon concern own.', 'https://dspncdn.com/a1/media/originals/84/fa/b5/84fab505650ebe30a080bab8eb72af50.jpg');
INSERT INTO `Musika`.`album` (`albumId`, `albumName`, `albumDescription`, `albumPhoto`) VALUES ('50', 'Mean break.', 'Necessary all call country recently job fire expert herself early center spring bad feeling film property everything international artist young together early agency economy learn measure first share kid picture huge story him heart chair treatment message system so good history get likely middle image push whole feel heavy personal hair company consider nothing how writer threat method budget far fall painting full accept challenge table politics exist cost best floor about entire evidence allow drug current allow reveal military enough.', 'https://dspncdn.com/a1/media/originals/84/1c/12/841c1286daaeb62e75372b6a6d43cd25.jpg');
INSERT INTO `Musika`.`album` (`albumId`, `albumName`, `albumDescription`, `albumPhoto`) VALUES ('51', 'Since now.', 'Data true thousand attorney minute stay plan break within usually seem then different receive cover choose several option hundred clear not capital begin tough need discover until room either require develop human year media area them keep quality become vote fact discover professional indeed those hand let partner look on wife this whole feeling owner wear current prevent concern several mean such get usually radio might school nearly recent officer attention including house newspaper own dog coach race buy any pick tend sometimes than carry play together employee town.', 'https://dspncdn.com/a1/media/originals/88/68/df/8868dfeb685d91da7c8c20541ccf71ac.jpg');
INSERT INTO `Musika`.`album` (`albumId`, `albumName`, `albumDescription`, `albumPhoto`) VALUES ('52', 'Mr still list sit.', 'Eat who above arrive need us meet care citizen style technology beat talk move kid actually relate far free door training successful adult environment foreign herself bring ground money plant economy offer bar choice off eight end hard within player over doctor herself tree develop baby area dream him institution feel job together tell wonder opportunity feeling almost a pretty stage ten relationship fight country who score prepare.', 'https://dspncdn.com/a1/media/originals/f6/91/b5/f691b5a339b4f8ffa6af13cf756e7c28.jpg');
INSERT INTO `Musika`.`album` (`albumId`, `albumName`, `albumDescription`, `albumPhoto`) VALUES ('53', 'It own.', 'Raise certainly research day improve really writer contain paper there standard eye daughter decide tax history fund money animal able store many perhaps population boy conference suffer economy mind home image against style daughter material surface article newspaper also sound candidate image short tough rest memory large economy yet firm station space seat raise field stage reduce way the.', 'https://dspncdn.com/a1/media/originals/f6/91/b5/f691b5a339b4f8ffa6af13cf756e7c28.jpg');
INSERT INTO `Musika`.`album` (`albumId`, `albumName`, `albumDescription`, `albumPhoto`) VALUES ('54', 'Together hour kitchen national.', 'Fish relationship bill relationship run bill surface his degree heavy system myself church to garden war upon drive miss federal dark life magazine area reach hand shoulder pattern according majority religious pull quickly record free man capital finally garden job information time key somebody girl race federal worry when crime feel a get lot production lead rate herself floor price all everybody result.', 'https://dspncdn.com/a1/media/originals/e5/c8/9b/e5c89bbd1b444fd9cddf8fd951723317.jpg');
INSERT INTO `Musika`.`album` (`albumId`, `albumName`, `albumDescription`, `albumPhoto`) VALUES ('55', 'Trouble sea big.', 'Vote try if movement matter eight pull thought seem leader artist most body hair officer democratic forget range fall or door include defense that stop fight truth red amount decision available ready institution environmental quite baby mouth little begin food sort value suggest possible next itself politics may decade.', 'https://dspncdn.com/a1/media/originals/ef/7d/3f/ef7d3fd16fb8acb8cdcc74c9c71e0551.jpg');
INSERT INTO `Musika`.`album` (`albumId`, `albumName`, `albumDescription`, `albumPhoto`) VALUES ('56', 'Child trip.', 'Sign natural her represent major future ask should black performance center from against during particular specific statement successful major teach international trip skill evidence operation billion their popular bit everybody human learn painting issue perhaps reality here western street involve everything fall own city ten push product crime back all ask.', 'https://dspncdn.com/a1/media/originals/34/c3/60/34c360dbadfa9cb67ed2c68385d1eb3b.jpg');
INSERT INTO `Musika`.`album` (`albumId`, `albumName`, `albumDescription`, `albumPhoto`) VALUES ('57', 'Ability party.', 'Street unit key enjoy wish leg politics who memory second pass particularly how if important star create professor rich reduce record know group senior my break see political so mission south current high nearly rest little stage statement environmental purpose rest yard act determine room school manager door.', 'https://dspncdn.com/a1/media/originals/c7/49/15/c7491577fdd11e6a54237e879de6cd07.jpg');
INSERT INTO `Musika`.`album` (`albumId`, `albumName`, `albumDescription`, `albumPhoto`) VALUES ('58', 'Cold check together.', 'Especially improve ready music campaign left anyone science next treat instead success spring they least some up if become address try room large movie from head south then out Republican front young thought scene last soldier region bag will at raise dog consider smile quality instead situation result conference general baby executive spring which station sound girl general say least difference personal interest kid.', 'https://dspncdn.com/a1/media/originals/21/35/6e/21356ef6793ce86c6144069862b3a312.jpg');
